id,full_table_name,column_name,metric_name,metric_value,source_value,bucket_start,bucket_end,bucket_duration_hours,updated_at,dimension,dimension_value,metric_properties,created_at
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,row_count,0,,,,,2024-02-14 12:16:11.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,build_timestamp,1707909371.574425,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,row_count,0,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,build_timestamp,1707909372.476567,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,row_count,195,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,build_timestamp,1707909372.643568,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,row_count,0,,,,,2024-02-14 12:16:12.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_models""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_MODELS,,build_timestamp,1707909372.982569,,,,,2024-02-14 12:16:13.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_models""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_MODELS,,row_count,52,,,,,2024-02-14 12:16:13.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_source_freshness_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCE_FRESHNESS_RESULTS,,build_timestamp,1707909373.188093,,,,,2024-02-14 12:16:13.000000,,,,2024-02-14 12:16:17.629464
